TRAVEL_ID,POI_ID,POI_NM
c_c000344,POI010000006BNNJ6,서산수협안흥급유소
d_d012487,POI01000000BSCHVN,크리스마스박물관
a_a003278,POI01000000B5KV0R,솔펜션별관2
d_d001312,POI01000000B75AYR,태고암
d_d000751,POI010000006VVFMT,우방종합건설(주)
d_d007974,POI01000000C9KZTT,조천주암주택103동
d_d006652,POI01000000C9N8W8,육대주빌라
d_d003157,POI01000000BZ0E0K,애월초교더럭분교장
d_d004829,POI01000000BZB4I3,경주시외버스터미널
d_d000966,POI01000000B313V9,부영호텔
d_d001470,POI01000000C0S6V1,매탄현대힐스테이트아파트/125동
a_a001590,POI010000006EHQF2,JCT.WORLDGATE
d_d001431,POI010000006VWMBQ,동문시장
d_d000791,POI01000000BSCFTJ,홍은프라자
d_d010676,POI0100000078R6MU,연희피아노음악교습소
d_d007390,POI010000006VSVCW,해조대펜션
d_d004187,POI01000000B31Y5E,오설록티뮤지엄
c_c002604,POI01000000B5NEBO,하늘지움
d_d002464,POI01000000BZZID0,대천역
d_d002079,POI01000000C9HPI5,에코피아2차
d_d008070,POI010000006VWN1H,동문공영주차장
d_d002115,POI01000000B31Y5E,오설록티뮤지엄
d_d001927,POI010000006BA7TN,묵호역
d_d005235,POI010000006VWNAQ,동문시장고객지원센터
d_d000794,POI01000000ALJ1DO,KD렌터카
d_d010315,POI01000000B31Y5E,오설록티뮤지엄
d_d007901,POI01000000BSCLNJ,애월더선셋리조트
d_d004159,POI010000006W3PWM,곽지해녀의집
d_d001357,POI01000000C0K12V,목련우방아파트/1243동
d_d002522,POI01000000EG3ZSK,제주일번가더테라스주상복합
d_d001142,POI01000000BSCI70,소남게스트하우스
d_d001697,POI0100000078QHWE,유탑유블레스호텔
d_d011454,POI01000000781PDE,봄오피스텔
d_d010190,POI01000000ALBVGD,제주신화월드테마파크
d_d000142,POI01000000EG6NK3,THESIGNATURE
d_d002816,POI010000006VWMBQ,동문시장
d_d000248,POI01000000903OJF,해맞이민박
d_d010442,POI01000000B3191L,게스트하우스에코
d_d000630,POI01000000BSCGYP,서귀포시공영주차장
d_d000372,POI010000006VRQIW,용수어촌계
d_d005925,POI01000000ALBVGD,제주신화월드테마파크
a_a002744,POI01000000C0I34X,GS자이아파트/112동
d_d010161,POI01000000BZ0TA9,빌레리조트
d_d006359,POI01000000C2AIAC,다온팰리스/A동
d_d000773,POI010000008ZZUGC,뉴서림농원
d_d002251,POI01000000BSCG6X,서귀포항임항창고
d_d001764,POI01000000B77UO3,향일암(전라남도문화재자료제40호)대웅전
d_d009941,POI01000000EGUUAO,카페뷸라
d_d010626,POI01000000ALB63B,중문관광단지안내소
d_d010612,POI010000006W7FK4,제주아모제펜션
d_d009549,POI010000006MKZCJ,마포갈비
a_a014141,POI01000000BFVDF9,전등사
c_c001676,POI010000006XWKXC,관망탑
d_d002359,POI01000000BZ1OFA,명월리백난아기념관
d_d000395,POI01000000EHGJ7X,소노캄제주소노호텔앤리조트
d_d001642,POI01000000B31Y5E,오설록티뮤지엄
d_d011821,POI01000000DM82QV,장원하이빌
c_c002534,POI01000000B77UR6,봉황산자연휴양림숲속의집
d_d000547,POI01000000EHGHUI,오설록티뮤지엄
d_d010505,POI01000000B32DXM,코업시티호텔성산
d_d007630,POI010000006VWNAQ,동문시장고객지원센터
d_d008018,POI010000006W5JN9,중문시티호텔
d_d001473,POI01000000C0KAAC,퇴계1차아파트/354동
d_d008023,POI01000000ALXWTD,용인광교휴먼시아45단지아파트/경비실
d_d003260,POI01000000DM8ROI,노형동중흥S클래스아파트
d_d005917,POI01000000DLREYX,제주시청2별관
d_d009284,POI01000000ALCPKC,여울목게스트하우스
d_d009419,POI01000000EHG9GW,성산일출봉
d_d005738,POI0100000078QA2D,성산리마을회관
d_d009414,POI01000000B8XH3W,1
d_d006740,POI010000006VWJV7,동광해운(주)
d_d002864,POI0100000078RME2,홍스랜드
d_d000170,POI0100000078L220,더포레스트호텔
d_d003099,POI01000000B2XDK3,군산고속버스터미널
d_d002051,POI01000000EHG8ZE,성산포항종합여객터미널주차타워
d_d000608,POI01000000EG91RR,쌍둥이횟집
d_d005969,POI01000000EBU51L,도들봉공원
d_d008963,POI01000000EG7HYC,해원정
d_d004455,POI0100000078R73C,라마다호텔제주
d_d001038,POI0100000078SMAZ,플로라제이드림호텔
d_d007488,POI01000000EG51RN,SK렌터카제주지점
d_d000371,POI01000000CP6G6P,김남진
d_d004052,POI010000006VSAIH,블루마운틴호텔
d_d004842,POI010000006W0H2H,에코랜드테마파크
c_c003050,POI01000000B40D9X,리솜스파캐슬
d_d002954,POI01000000EHXIBH,오목대
d_d002220,POI0100000078KLO4,샤워실
d_d001834,POI01000000B31TGK,게스트하우스쉼
d_d005179,POI01000000EBRRY1,제주첨단과학기술단지
d_d005915,POI01000000BZ22LV,상효원식물원
d_d007009,POI01000000C0YC2K,죽전동부센트레빌아파트/101동
d_d004165,POI01000000B33VHP,하니하우스
d_d000479,POI01000000668BI9,청안호텔앤레지던스
d_d000583,POI010000006VSOR4,월령코지펜션
b_b000301,POI010000006BISJ6,바다섬호텔
d_d002134,POI01000000EHG9GW,성산일출봉
a_a003541,POI010000006E4HXY,인천교구해안성당교육관
d_d010973,POI01000000EBRRFI,이호테우해수욕장
d_d002734,POI01000000B34EIA,길가온펜션
b_b012228,POI0100000076T1IL,광안여름경찰서
d_d000560,POI01000000BZ1I7W,세화해수욕장
c_c002769,POI01000000AKNW3C,순천만생태공원
d_d002182,POI010000006VVS9T,제주팔레스호텔
d_d009186,POI01000000EBRPYZ,곽지해변
d_d001904,POI010000006W5V64,소풍BNB
d_d000564,POI01000000ALBL4R,마당게스트하우스
d_d004418,POI01000000BG6WB0,만장굴
d_d002067,POI01000000B34WKU,레드캡렌터카
